设备,变化量n,delta r vs CORE核心,delta r vs CORE胸皮温,变化量更接近核心,变化量更接近皮温,CORE有变化时同向率
水银温度计,99,0.24437718328784525,0.09066044311079179,0.5656565656565656,0.25252525252525254,0.3448275862068966
小米温度,99,-0.03589087976408248,0.3970638668586654,0.6060606060606061,0.2222222222222222,0.1724137931034483
