device,reference,n,mae,rmse,r
Xiaomi_CBT,CORE_Chest_CBT,107,0.474766355140188,0.595936395025416,-0.19112363942152374
Xiaomi_CBT,CORE_Chest_Skin,107,1.7560747663551401,2.10963521672908,-0.2934249354653948
Xiaomi_CBT,CORE_Wrist_Skin,75,3.774666666666668,3.85968910665095,0.016580875975989673
Mercury_CBT,CORE_Chest_CBT,107,0.5364485981308409,0.5843760151672925,0.5616115427624333
Mercury_CBT,CORE_Chest_Skin,107,1.4738317757009345,1.766431536695316,0.3910020882797999
Mercury_CBT,CORE_Wrist_Skin,75,3.5853333333333337,3.6654967830659286,0.0634192816954357
