Device,Category,n_delta,delta_mae,delta_rmse,delta_r,same_direction_all,reference_nonflat_n,same_direction_when_reference_moves
CORE 腕部体温,衣着/遮挡环境干扰,45,0.06000000000000038,0.08819171036882005,0.13700795478587055,0.5111111111111111,23,0.13043478260869565
CORE 腕部体温,运动挑战,24,0.08750000000000036,0.12416387021459459,0.1529051517708635,0.4583333333333333,11,0.45454545454545453
水银温度计,24小时生活趋势,30,0.23999999999999963,0.28751811537130395,0.2785643540110027,0.26666666666666666,24,0.2916666666666667
水银温度计,衣着/遮挡环境干扰,45,0.1088888888888898,0.15129074290547057,0.28926592417962554,0.4888888888888889,23,0.43478260869565216
水银温度计,运动挑战,24,0.1250000000000009,0.16329931618554627,0.2173253865388963,0.3333333333333333,11,0.2727272727272727
小米温度,24小时生活趋势,30,0.3100000000000004,0.394546152771342,-0.01678947134982251,0.26666666666666666,24,0.20833333333333334
小米温度,衣着/遮挡环境干扰,45,0.06444444444444489,0.11450376024878525,-0.11766772316137686,0.5555555555555556,23,0.21739130434782608
小米温度,运动挑战,24,0.08333333333333275,0.1384437310486342,-0.1063225971996119,0.4583333333333333,11,0.0
