Category,n,bias,mae,rmse,median_ae,p90_ae,sd_error,loa_low,loa_high,pearson_r,within_0.2,within_0.3,within_0.5,within_1.0
衣着/遮挡环境干扰,49,-0.44897959183673325,0.6122448979591846,0.7378955182939979,0.4000000000000057,1.2999999999999985,0.5916510968536821,-1.60861574166995,0.7106565579964836,-0.4230106113348248,0.16326530612244897,0.3469387755102041,0.5306122448979592,0.8571428571428571
24小时生活趋势,32,-0.2656250000000002,0.4531250000000002,0.537645329190165,0.3999999999999986,0.7900000000000044,0.47492571575339204,-1.1964794028766486,0.6652294028766481,0.2324300666021537,0.28125,0.40625,0.65625,0.96875
运动挑战,26,0.04999999999999989,0.24230769230769494,0.28216198293779093,0.20000000000000284,0.4000000000000057,0.28319604517012886,-0.5050642485334527,0.6050642485334525,-0.4359109186051072,0.5769230769230769,0.6923076923076923,1.0,1.0
