设备,阶段,变化量n,delta MAE vs CORE核心,delta MAE vs 胸皮温,同向率 vs CORE核心
小米温度,出汗前,3,0.06666666666666761,0.3333333333333333,0.6666666666666666
小米温度,出汗后,21,0.0857142857142849,0.22857142857142945,0.42857142857142855
水银温度计,出汗前,3,0.13333333333333286,0.2666666666666681,0.3333333333333333
水银温度计,出汗后,21,0.1238095238095249,0.2095238095238115,0.3333333333333333
