Device,n,bias,mae,rmse,median_ae,p90_ae,loa_low,loa_high,pearson_r,within_0.2,within_0.3,within_0.5,within_1.0
小米温度,107,-0.2728971962616817,0.474766355140188,0.595936395025416,0.3999999999999986,1.0,-1.3161533173346607,0.7703589248112972,-0.19112363942152374,0.29906542056074764,0.4485981308411215,0.6822429906542056,0.9252336448598131
水银温度计,107,-0.5252336448598128,0.5364485981308409,0.5843760151672925,0.5,0.8,-1.029696861918842,-0.02077042780078353,0.5616115427624333,0.11214953271028037,0.22429906542056074,0.5046728971962616,0.9626168224299065
CORE 腕部体温,75,0.06400000000000082,0.32533333333333353,0.43358966777357577,0.20000000000000284,0.8599999999999989,-0.7821871596692936,0.9101871596692953,-0.05162320284120778,0.5466666666666666,0.64,0.8,1.0
