设备,n,数值更接近CORE核心温,数值更接近CORE胸皮温,数值接近持平
小米温度,107,0.7383177570093458,0.2616822429906542,5.551115123125783e-17
水银温度计,107,0.794392523364486,0.18691588785046728,0.01869158878504676
