n,bias,mae,rmse,median_ae,p90_ae,sd_error,loa_low,loa_high,pearson_r,within_0.2,within_0.3,within_0.5,within_1.0,Scene,max_abs_error,core_range,xiaomi_range
2,0.3000000000000007,0.3000000000000007,0.31622776601684016,0.3000000000000007,0.38000000000000467,0.14142135623731653,0.022814141774860353,0.577185858225141,,0.5,0.5,1.0,1.0,运动中3,0.4000000000000057,0.30000000000000426,0.09999999999999432
2,-0.09999999999999787,0.3000000000000007,0.31622776601683794,0.3000000000000007,0.379999999999999,0.4242640687119295,-0.9315575746753797,0.731557574675384,,0.5,0.5,1.0,1.0,进食,0.3999999999999986,0.29999999999999716,0.8999999999999986
1,-0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,,,,,0.0,1.0,1.0,1.0,躺床,0.29999999999999716,0.0,0.0
2,0.25,0.25,0.3535533905932738,0.25,0.45,0.3535533905932738,-0.44296464556281656,0.9429646455628166,,0.5,0.5,1.0,1.0,运动中2,0.5,0.5,0.0
2,0.20000000000000284,0.20000000000000284,0.28284271247462306,0.20000000000000284,0.3600000000000051,0.28284271247462306,-0.35437171645025833,0.754371716450264,,0.5,0.5,1.0,1.0,运动中1,0.4000000000000057,0.4000000000000057,0.0
1,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,,,,,1.0,1.0,1.0,1.0,摘表前,0.20000000000000284,0.0,0.0
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后2,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后3,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后4,0.20000000000000284,0.0,0.30000000000000426
2,-0.05000000000000071,0.15000000000000213,0.15811388300842122,0.15000000000000213,0.1900000000000027,0.21213203435596728,-0.46577878733769656,0.36577878733769514,,1.0,1.0,1.0,1.0,运动后5,0.20000000000000284,0.0,0.30000000000000426
2,0.0,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.14142135623731153,-0.2771858582251306,0.2771858582251306,,1.0,1.0,1.0,1.0,运动后6,0.10000000000000142,0.10000000000000142,0.30000000000000426
